CN100373667C,,未缴年费,,锂离子电池的负极材料及其制备方法,,,,2006/5/17,2008/3/5,浙江大学,,浙江大学,,,,,,,
CN100373668C,,未缴年费,,锂离子电池正极材料层状钒锰氧化物及其制备方法,,,,2004/5/28,2008/3/5,北京化工大学,,北京化工大学,,,,,,,
CN100373670C,,期限届满 | 权利转移,,正极活性物质及其制造方法以及非水电解质二次电池,,,,2003/2/24,2008/3/5,松下电器产业株式会社 | 公立大学法人大阪市立大学,,松下电器产业株式会社 | 公立大学法人大阪市立大学,,,,,,,
CN100373671C,,授权 | 质押 | 保全 | 许可,,锂离子电池正极材料锂锰钴氧及其制备方法,,,,2005/1/19,2008/3/5,湖南瑞翔新材料股份有限公司,,湖南瑞翔新材料股份有限公司,,,,,,,
CN100374366C,,未缴年费 | 许可,,高压固相合成磷酸铁锂正极材料的方法,,,,2006/6/16,2008/3/12,华南理工大学,,华南理工大学,,,,,,,
CN100375319C,,未缴年费,,一种锂离子电池负极材料的制备方法,,,,2006/5/18,2008/3/12,复旦大学,,复旦大学,,,,,,,
CN100375329C,,期限届满,,聚合物凝胶电解质和应用它的锂电池,,,,2001/4/29,2008/3/12,三星SDI株式会社,,三星SDI株式会社,,,,,,,
CN100375759C,,未缴年费,,聚丙烯腈低温热解复合金属负极材料的制备方法,,,,2006/7/14,2008/3/19,清华大学,,清华大学,,,,,,,
CN100376049C,,未缴年费,,一种基于第二相复合的高倍率锂二次电池负极材料及制备方法,,,,2005/6/10,2008/3/19,中国科学院上海硅酸盐研究所,,中国科学院上海硅酸盐研究所,,,,,,,
CN100376057C,,未缴年费,,一种非水电解液锂离子二次电池,,,,2004/7/7,2008/3/19,比亚迪股份有限公司,,比亚迪股份有限公司,,,,,,,
CN100376475C,,未缴年费 | 许可,,一种球形多孔高密度LiFePO4粉体及其制备方法,,,,2005/10/14,2008/3/26,江苏大学,,江苏大学,,,,,,,
CN100376620C,,未缴年费,,聚醚聚合物组合物的制备方法、聚醚聚合物组合物和固体电解质薄膜,,,,2003/11/28,2008/3/26,日本瑞翁株式会社,,日本瑞翁株式会社,,,,,,,
CN100377390C,,授权 | 保全 | 权利转移,,含锰钴镍的锂复合氧化物的制备方法,,,,2004/12/7,2008/3/26,深圳市比克动力电池有限公司,,深圳市比克动力电池有限公司,,,,,,,
